aptlist-href,size,rooms,price,location,arrondissement,neighborhood,description,keyword search,balcon,terrasse,lumineux,jardin,ascenseur,Floor,étage élevé,dernier étage,étage,cœur,quai,parking,cave,grenier,parquet,piscine,garage,double vitrage,source
http://www.logic-immo.com/detail-vente-47bbd35e-35d1-87d1-fb7c-c835fdd2639c.htm,130,5,1254000,LYON 2E (69002),2,null,"UNIQUE, A 2 pas de la Place BELLECOUR, adresse recherchée, au sein d'un ensemble immobilier
 alliant le charme de l'ancien et la création de résidences neuves, autour de jardins et patios arborés, zen et réunis par des arcades, rénovation Haut de Gamme et Résidences neuves de Prestige, AVEC CONCIERGERIE, dans une partie ancienne entièrement revisitée par un architecte et rénovée dans le respect des éléments des années 1780, très beau T4 en DUPLEX de 129,55 m2, en dernier étage, traversant Ouest/Sud et Nord, agrémenté d'une TERRASSE de 49 m2 plein Ouest, sans vis-à -vis, jardins intérieurs arborés et fleuris, au calme. Il offre au niveau inférieur, une Entrée de 4,85 m2, une Pièce de Vie ouvrant sur la Terrasse et espace Cuisine/Salle à  Manger de 55 m2, un dégagement de 4 m2 desservant 2 Chambres dont une de 14,73 m2, toutes 2 avec cheminées et placards et ouvrant sur la Terrasse, une Salle de Bains de plus de 7 m2 et toilettes séparés. A l'étage supérieur, Grande Chambre de 16,64 m2 avec poutres apparentes, Bibliothèque de 13,31 m2, Salle de Bains de 3,19 m2 et toilettes séparés. 2 caves complètent cet appartement de Charme. Prestations Haut de Gamme, Parquet chêne massif dans les chambres et la Pièce de Vie. Vidéophone et parties communes très soignées, décorées par un Architecte de renom. Tous commerces, transports à  proximité immédiate. Proche des Ecoles et Facultés, en plein coeur de la Presqu'à¯le. A SAISIR ! 1 254 000 à‚¬ FAI. Dossier complet sur demande et visite privée. Florence REVEL, ART'IMMO, 06.33.20.46.60. Réf. annonce : 1269784
 
 Appartement Lyon 02 69002
 
 
 
 
 Obtenir l'adresse
 
 
 Etre rappelé
 
 
 Demander une visite",#VALUE!,FALSE,TRUE,FALSE,TRUE,FALSE,null,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,logicImmo
http://www.logic-immo.com/detail-vente-0789065f-1ced-9152-b086-54c2e9360350.htm,202,5,1280000,LYON 4E (69004),4,null,"LYON 4 - CROIX-ROUSSE. Cet appartement de 202 m2, offre une magnifique vue panoramique. Il est
 composé d'un espace de vie de plus de 60 m2 donnant sur une terrasse de 13 m2, de 4 chambres dont une suite parentale, d'une salle de bains et de deux salles de douche. Il dispose également d'un ascenseur privé, un garage en sous sol, un parking en plein air et une cave. Il a été entièrement restauré avec des matériaux de qualité Possibilité d'acquérir en sus, une chambre de bonne indépendante de 12 m2, un parking en sous-sol et une cave. Réf. annonce : A-68603
 
 Appartement Lyon 04 69004
 
 
 
 
 Obtenir l'adresse
 
 
 Etre rappelé
 
 
